,car_name,company_name,year,price,kms_driven,fuel_type
1242,Maruti Suzuki Swift,Maruti,2016,305000,20000,Diesel
1243,Maruti Suzuki Wagon,Maruti,2013,210000,31000,CNG
1244,Mahindra Quanto C8,Mahindra,2012,350000,43000,Diesel
1245,Maruti Suzuki Swift,Maruti,2024,680000,25000,CNG
1246,Maruti Suzuki Eeco,Maruti,2011,315000,10000,Petrol
1247,Maruti Suzuki Ertiga,Maruti,2024,1021000,17000,Petrol
1248,MG Motors Hector,MG,2022,2050000,11800,Diesel
1249,Hyundai Santa Fe,Hyundai,2014,430000,95700,Diesel
1250,Maruti Suzuki A,Maruti,2011,110000,20000,Petrol
1251,Maruti Suzuki Wagon,Maruti,2016,340000,25000,Petrol
1252,Maruti Suzuki Swift,Maruti,2008,220000,78000,Petrol
1253,Mercedes Benz CLA,Mercedes,2018,2100000,44000,Diesel
1254,Maruti Suzuki Swift,Maruti,2024,835000,50,Petrol
1255,Maruti Suzuki New,Maruti,2024,700000,50,Petrol
1256,Hyundai Venue S,Hyundai,2021,800000,63000,Petrol
1257,Tata Tiago XE,Tata,2021,410000,16000,Petrol
1258,Tata Punch Creative,Tata,2023,620000,18000,Petrol
1259,Maruti Suzuki Swift,Maruti,2013,343000,75000,Petrol
1260,Hyundai Santa Fe,Hyundai,2014,430000,95700,Diesel
1261,Tata Indigo LS,Tata,2014,150000,64800,Diesel
1262,Maruti Suzuki Alto,Maruti,2011,140000,64772,Petrol
1263,Chevrolet Beat LS,Chevrolet,2016,170000,85000,Diesel
1264,Hyundai Venue S,Hyundai,2021,800000,63000,Petrol
1265,Hyundai Getz GLE,Hyundai,2007,140000,0,Petrol
1266,Maruti Suzuki Swift,Maruti,2024,550000,55000,Petrol
1267,Maruti Suzuki Wagon,Maruti,2017,120000,90000,Petrol
1268,Honda City ZX,Honda,2018,500000,55000,Petrol
1269,Hyundai i20 ASTA,Hyundai,2021,750000,50000,Petrol
1270,Hyundai Grand i10,Hyundai,2015,310000,12502,Diesel
1271,Honda City 1.5,Honda,2009,275000,84400,Petrol
1272,Maruti Suzuki Swift,Maruti,2024,835000,50,Petrol
1273,Maruti Suzuki New,Maruti,2024,700000,50,Petrol
1274,Hyundai Venue S,Hyundai,2021,800000,63000,Petrol
1275,Tata Tiago XE,Tata,2021,410000,16000,Petrol
1276,Tata Punch Creative,Tata,2023,620000,18000,Petrol
1277,Maruti Suzuki Swift,Maruti,2013,343000,75000,Petrol
1278,Hyundai Santa Fe,Hyundai,2014,430000,95700,Diesel
1279,Tata Indigo LS,Tata,2014,150000,64800,Diesel
1280,Maruti Suzuki Alto,Maruti,2011,140000,64772,Petrol
1281,Chevrolet Beat LS,Chevrolet,2016,170000,85000,Diesel
1282,Hyundai Venue S,Hyundai,2021,800000,63000,Petrol
1283,Hyundai Getz GLE,Hyundai,2007,140000,0,Petrol
1284,Maruti Suzuki Swift,Maruti,2024,550000,55000,Petrol
1285,Maruti Suzuki Wagon,Maruti,2017,120000,90000,Petrol
1286,Honda City ZX,Honda,2018,500000,55000,Petrol
